match,Date,Time
Germany v Scotland,14 June 2024,21:00:00
Hungary v Switzerland,15 June 2024,15:00:00
Germany v Hungary,19 June 2024,18:00:00
Scotland v Switzerland,19 June 2024,21:00:00
Switzerland v Germany,23 June 2024,21:00:00
Scotland v Hungary,23 June 2024,21:00:00
Spain v Croatia,15 June 2024,18:00:00
Italy v Albania,15 June 2024,21:00:00
Croatia v Albania,19 June 2024,15:00:00
Spain v Italy,20 June 2024,21:00:00
Albania v Spain,24 June 2024,21:00:00
Croatia v Italy,24 June 2024,21:00:00
Slovenia v Denmark,16 June 2024,18:00:00
Serbia v England,16 June 2024,21:00:00
Slovenia v Serbia,20 June 2024,15:00:00
Denmark v England,20 June 2024,18:00:00
England v Slovenia,25 June 2024,21:00:00
Denmark v Serbia,25 June 2024,21:00:00
Poland v Netherlands,16 June 2024,15:00:00
Austria v France,17 June 2024,21:00:00
Poland v Austria,21 June 2024,18:00:00
Netherlands v France,21 June 2024,21:00:00
Netherlands v Austria,25 June 2024,18:00:00
France v Poland,25 June 2024,18:00:00
Romania v Ukraine,17 June 2024,15:00:00
Belgium v Slovakia,17 June 2024,18:00:00
Slovakia v Ukraine,21 June 2024,15:00:00
Belgium v Romania,22 June 2024,21:00:00
Slovakia v Romania,26 June 2024,18:00:00
Ukraine v Belgium,26 June 2024,18:00:00
Turkey v Georgia,18 June 2024,18:00:00
Portugal v Czech Republic,18 June 2024,21:00:00
Georgia v Czech Republic,22 June 2024,15:00:00
Turkey v Portugal,22 June 2024,18:00:00
Georgia v Portugal,26 June 2024,21:00:00
Czech Republic v Turkey,26 June 2024,21:00:00
