match,IST_datetime
Germany v Scotland,15 June 2024 00:30:00 IST
Hungary v Switzerland,15 June 2024 18:30:00 IST
Germany v Hungary,19 June 2024 21:30:00 IST
Scotland v Switzerland,20 June 2024 00:30:00 IST
Switzerland v Germany,24 June 2024 00:30:00 IST
Scotland v Hungary,24 June 2024 00:30:00 IST
Spain v Croatia,15 June 2024 21:30:00 IST
Italy v Albania,16 June 2024 00:30:00 IST
Croatia v Albania,19 June 2024 18:30:00 IST
Spain v Italy,21 June 2024 00:30:00 IST
Albania v Spain,25 June 2024 00:30:00 IST
Croatia v Italy,25 June 2024 00:30:00 IST
Slovenia v Denmark,16 June 2024 21:30:00 IST
Serbia v England,17 June 2024 00:30:00 IST
Slovenia v Serbia,20 June 2024 18:30:00 IST
Denmark v England,20 June 2024 21:30:00 IST
England v Slovenia,26 June 2024 00:30:00 IST
Denmark v Serbia,26 June 2024 00:30:00 IST
Poland v Netherlands,16 June 2024 18:30:00 IST
Austria v France,18 June 2024 00:30:00 IST
Poland v Austria,21 June 2024 21:30:00 IST
Netherlands v France,22 June 2024 00:30:00 IST
Netherlands v Austria,25 June 2024 21:30:00 IST
France v Poland,25 June 2024 21:30:00 IST
Romania v Ukraine,17 June 2024 18:30:00 IST
Belgium v Slovakia,17 June 2024 21:30:00 IST
Slovakia v Ukraine,21 June 2024 18:30:00 IST
Belgium v Romania,23 June 2024 00:30:00 IST
Slovakia v Romania,26 June 2024 21:30:00 IST
Ukraine v Belgium,26 June 2024 21:30:00 IST
Turkey v Georgia,18 June 2024 21:30:00 IST
Portugal v Czech Republic,19 June 2024 00:30:00 IST
Georgia v Czech Republic,22 June 2024 18:30:00 IST
Turkey v Portugal,22 June 2024 21:30:00 IST
Georgia v Portugal,27 June 2024 00:30:00 IST
Czech Republic v Turkey,27 June 2024 00:30:00 IST
